condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-75b680c06c83863adc4e,cond-75b680c06c83863adc4e::r1,pair-4173d72a6e05a5753ca9d48d,pair-4173d72a6e05a5753ca9d48d::r1,remote_fetch_rollup_intermediate__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30,gac_fdw_multiregion_raw_region_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/remote_fetch_rollup_intermediate__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,non_distribution_filter",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_fetch_rollup_intermediate__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_full_scan_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__rollup,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,1,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-75b680c06c83863adc4e,cond-75b680c06c83863adc4e::r2,pair-4173d72a6e05a5753ca9d48d,pair-4173d72a6e05a5753ca9d48d::r2,remote_fetch_rollup_intermediate__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30,gac_fdw_multiregion_raw_region_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/remote_fetch_rollup_intermediate__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_raw_region_rollup__as_of_unix-1782864000__lookback_days-30.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,non_distribution_filter",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,remote_fetch_rollup_intermediate__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_full_scan_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__rollup,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,2,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-b0cdf618bffdf31d3278,cond-b0cdf618bffdf31d3278::r1,pair-82374c32f4a33e2eacbd4cff,pair-82374c32f4a33e2eacbd4cff::r1,ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000--e5954a1fd2c90b58ba62.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_raw_wide_sample,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__raw_wide,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,3,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-3c8cea08317f5b029647,cond-3c8cea08317f5b029647::r1,pair-01dfaddf04d9ed608a513ddd,pair-01dfaddf04d9ed608a513ddd::r1,ft_f_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_f_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_f_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__selective_filter,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,4,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-3c8cea08317f5b029647,cond-3c8cea08317f5b029647::r2,pair-01dfaddf04d9ed608a513ddd,pair-01dfaddf04d9ed608a513ddd::r2,ft_f_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_f_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_f_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_filter_summary,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__selective_filter,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,5,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-b0cdf618bffdf31d3278,cond-b0cdf618bffdf31d3278::r0,pair-82374c32f4a33e2eacbd4cff,pair-82374c32f4a33e2eacbd4cff::r0,ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000--e5954a1fd2c90b58ba62.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_raw_wide_sample,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__raw_wide,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,6,false,large,2,8.0,2.0,32.0,extreme,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=2
cond-adde1dafe19b8baf4aff,cond-adde1dafe19b8baf4aff::r2,pair-c26c260bdcbcd33f040098a9,pair-c26c260bdcbcd33f040098a9::r2,ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,global_user_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__join,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,7,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-b0cdf618bffdf31d3278,cond-b0cdf618bffdf31d3278::r2,pair-82374c32f4a33e2eacbd4cff,pair-82374c32f4a33e2eacbd4cff::r2,ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_event_raw_wide_sample__as_of_unix-1782864000__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,gac_fdw_multiregion_event_raw_wide_sample,"{""as_of_unix"": 1782864000, ""limit_k"": 10000, ""lookback_days"": 30, ""min_value"": 0, ""payload_repeat"": 8, ""payload_width"": 256}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000--e5954a1fd2c90b58ba62.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_w_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,event_raw_wide_sample,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__raw_wide,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,remote_fetch_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""none""}","supports_region_partitioning,supports_large_scan,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,8,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
cond-adde1dafe19b8baf4aff,cond-adde1dafe19b8baf4aff::r0,pair-c26c260bdcbcd33f040098a9,pair-c26c260bdcbcd33f040098a9::r0,ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,global_user_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__join,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,9,false,large,2,8.0,2.0,32.0,extreme,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=2
cond-adde1dafe19b8baf4aff,cond-adde1dafe19b8baf4aff::r1,pair-c26c260bdcbcd33f040098a9,pair-c26c260bdcbcd33f040098a9::r1,ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100,gac_fdw_multiregion_global_user_join,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-110-remote/rendered/groups/pressure-raw-v1-remote__raw-large-balanced-v1__pressure_remote_fetch_2000__analytics_clients/queries/ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000__gac_fdw_multiregion_global_user_join__as_of_unix-1782864000__lookback_days-14__limit_k-100.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",pressure-raw-v1-remote,pressure-raw-corpus-v1,batch-110-remote,pressure-raw-v1,ft_j_i__dataset-raw-large-balanced-v1__runtime-pressure_remote_fetch_2000,global_user_topk,multiregion_union,,,,raw-large-balanced-v1,pressure_remote_fetch_2000,eu_us_gac,calibration,remote_path,remote_path,intermediate,intermediate,remote_cal_fetch__join,,,,,,,,,,increase_fetch_size,execution_time_seconds,pressure_calibration,"join_movement,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_global_user_dimension,supports_non_colocated_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,10,false,large,1,8.0,2.0,16.0,heavy,dataset=large:8;runtime=pressure_remote_fetch_2000:2;passes=1
